75 / 5 = ,15,12,17,19,5
99 / 3 = ,33,32,30,17,18
200 / 25 = ,8,10,15,6,24
200 / 5 = ,40,35,50,80,100
300 / 5 = ,60,70,80,50,25
300 / 25 = ,12,15,18,25,20
400 / 50 = ,8,6,18,12,24
500 / 5 = ,100,125,103,105,10
480 / 6 = ,80,88,60,66,68
320 / 8 = ,40,50,80,44,42
320 / 80 = ,4,5,8,6,3
320 / 16 = ,20,2,22,200,24
360 / 60 = ,6,60,600,8,12
360 / 6 = ,60,60,600,8,12
540 / 90 = ,6,60,90,25,50
490 / 7 = ,70,7,700,49,77
490 / 70 = ,7,70,700,49,77
1200 / 100 = ,12,120,200,1000,65
95 / 5 = ,19,18,21,17,15
96 / 4 = ,24,25,26,29,33

